item_id,category
piping-plover,Species
piping-plover,Bird
piping-plover,Charadriiformes
piping-plover,Charadriidae
piping-plover,NC SGCN
piping-plover,NC Management Concern
velvet-scoter,Species
velvet-scoter,Bird
velvet-scoter,Anseriformes
velvet-scoter,Anatidae
velvet-scoter,NC SGCN
velvet-scoter,NC Management Concern
acadian-flycatcher,Species
acadian-flycatcher,Bird
acadian-flycatcher,Passeriformes
acadian-flycatcher,Tyrannidae
acadian-flycatcher,NC SGCN
alder-flycatcher,Species
alder-flycatcher,Bird
alder-flycatcher,Passeriformes
alder-flycatcher,Tyrannidae
alder-flycatcher,NC SGCN
american-avocet,Species
american-avocet,Bird
american-avocet,Charadriiformes
american-avocet,Recurvirostridae
american-avocet,NC SGCN
american-black-duck,Species
american-black-duck,Bird
american-black-duck,Anseriformes
american-black-duck,Anatidae
american-black-duck,NC SGCN
american-black-duck,NC Management Concern
american-pipit,Species
american-pipit,Bird
american-pipit,Passeriformes
american-pipit,Motacillidae
american-pipit,NC Knowledge Concern
american-redstart,Species
american-redstart,Bird
american-redstart,Passeriformes
american-redstart,Parulidae
american-robin,Species
american-robin,Bird
american-robin,Passeriformes
american-robin,Turdidae
american-wigeon,Species
american-wigeon,Bird
american-wigeon,Anseriformes
american-wigeon,Anatidae
american-wigeon,NC Management Concern
american-woodcock,Species
american-woodcock,Bird
american-woodcock,Charadriiformes
american-woodcock,Scolopacidae
american-woodcock,NC Management Concern
american-woodcock,NC Knowledge Concern
bachman's-sparrow,Species
bachman's-sparrow,Bird
bachman's-sparrow,Passeriformes
bachman's-sparrow,Passerellidae
bachman's-sparrow,NC SGCN
bald-eagle,Species
bald-eagle,Bird
bald-eagle,Accipitriformes
bald-eagle,Accipitridae
bald-eagle,NC SGCN
bald-eagle,NC Management Concern
baltimore-oriole,Species
baltimore-oriole,Bird
baltimore-oriole,Passeriformes
baltimore-oriole,Icteridae
belted-kingfisher,Bird
belted-kingfisher,Species
bewick's-wren,Bird
bewick's-wren,Species
black-bellied-plover,Bird
black-bellied-plover,NC Knowledge Concern
black-bellied-plover,NC Management Concern
black-bellied-plover,NC SGCN
black-bellied-plover,Species
black-billed-cuckoo,Bird
black-billed-cuckoo,NC Knowledge Concern
black-billed-cuckoo,Species
black-capped-chickadee,Bird
black-capped-chickadee,NC Knowledge Concern
black-capped-chickadee,Paridae
black-capped-chickadee,Species
black-crowned-night-heron,Bird
black-crowned-night-heron,NC Knowledge Concern
black-crowned-night-heron,NC SGCN
black-crowned-night-heron,Species
blackpoll-warbler,Bird
blackpoll-warbler,Species
black-scoter,Bird
black-scoter,NC Management Concern
black-scoter,Species
black-skimmer,Bird
black-skimmer,NC Management Concern
black-skimmer,NC SGCN
black-skimmer,Species
black-throated-blue-warbler,Bird
black-throated-blue-warbler,Species
blue-gray-gnatcatcher,Bird
blue-gray-gnatcatcher,Species
blue-grosbeak,Bird
blue-grosbeak,Species
blue-jay,Bird
blue-jay,Species
red-shouldered-hawk,Bird
red-shouldered-hawk,Species
red-tailed-hawk,Bird
red-tailed-hawk,Species
red-winged-blackbird,Bird
red-winged-blackbird,Species
roseate-tern,Bird
roseate-tern,Species
royal-tern,Bird
royal-tern,NC Management Concern
royal-tern,NC SGCN
royal-tern,Species
ruby-crowned-kinglet,Bird
ruby-crowned-kinglet,Species
ruby-throated-hummingbird,Bird
ruby-throated-hummingbird,NC Management Concern
ruby-throated-hummingbird,Species
ruddy-duck,Bird
ruddy-duck,NC Management Concern
ruddy-duck,Species
rufous-hummingbird,Bird
rufous-hummingbird,Species
sanderling,Bird
sanderling,NC SGCN
sanderling,Species
seaside-sparrow,Bird
seaside-sparrow,NC Knowledge Concern
seaside-sparrow,NC SGCN
seaside-sparrow,Species
sedge-wren,Bird
sedge-wren,NC Knowledge Concern
sedge-wren,Species
semipalmated-plover,Bird
semipalmated-plover,NC Knowledge Concern
semipalmated-plover,Species
semipalmated-sandpiper,Bird
semipalmated-sandpiper,NC SGCN
semipalmated-sandpiper,Species
sharp-shinned-hawk,Bird
sharp-shinned-hawk,Species
short-eared-owl,Bird
short-eared-owl,NC Knowledge Concern
short-eared-owl,Species
snow-goose,Bird
snow-goose,NC Management Concern
snow-goose,NC SGCN
snow-goose,Species
solitary-sandpiper,Bird
solitary-sandpiper,Species
sora,Bird
sora,NC Knowledge Concern
sora,Species
stilt-sandpiper,Bird
stilt-sandpiper,Species
summer-tanager,Bird
summer-tanager,Species
surf-scoter,Bird
surf-scoter,NC Management Concern
surf-scoter,NC SGCN
surf-scoter,Species
swamp-sparrow,Bird
swamp-sparrow,Species
tufted-titmouse,Bird
tufted-titmouse,Species
tundra-swan,Bird
tundra-swan,NC Management Concern
tundra-swan,NC SGCN
tundra-swan,Species
upland-sandpiper,Bird
upland-sandpiper,Species
virginia-rail,Bird
virginia-rail,NC Knowledge Concern
virginia-rail,NC SGCN
virginia-rail,Species
western-sandpiper,Bird
western-sandpiper,Species
eastern-whip-poor-will,Bird
eastern-whip-poor-will,Species
white-breasted-nuthatch,Bird
white-breasted-nuthatch,Species
white-crowned-sparrow,Bird
white-crowned-sparrow,Species
white-eyed-vireo,Bird
white-eyed-vireo,Species
white-rumped-sandpiper,Bird
white-rumped-sandpiper,Species
white-throated-sparrow,Bird
white-throated-sparrow,Species
white-winged-scoter,Bird
white-winged-scoter,NC Management Concern
white-winged-scoter,NC SGCN
white-winged-scoter,Species
willow-flycatcher,Bird
willow-flycatcher,NC Knowledge Concern
willow-flycatcher,Species
wilson's-plover,Bird
wilson's-plover,NC Management Concern
wilson's-plover,NC SGCN
wilson's-plover,Species
wilson's-snipe,Bird
wilson's-snipe,NC Management Concern
wilson's-snipe,Species
winter-wren,Bird
winter-wren,NC Knowledge Concern
winter-wren,Species
wood-stork,Bird
wood-stork,NC SGCN
wood-stork,Species
wood-thrush,Bird
wood-thrush,Species
worm-eating-warbler,Bird
worm-eating-warbler,NC Knowledge Concern
worm-eating-warbler,NC SGCN
worm-eating-warbler,Species
yellow-billed-cuckoo,Bird
yellow-billed-cuckoo,Species
yellow-rumped-warbler,Bird
yellow-rumped-warbler,NC Knowledge Concern
yellow-rumped-warbler,Species
yellow-throated-vireo,Bird
yellow-throated-vireo,Species
least-bittern,Bird
least-bittern,NC Knowledge Concern
least-bittern,NC SGCN
least-bittern,Species
yellow-warbler,Bird
yellow-warbler,Species
boat-tailed-grackle,Bird
boat-tailed-grackle,Species
bobolink,Bird
bobolink,NC Knowledge Concern
bobolink,NC SGCN
bobolink,Species
bonaparte's-gull,Bird
bonaparte's-gull,Species
brewer's-blackbird,Bird
brewer's-blackbird,NC SGCN
brewer's-blackbird,Species
brown-thrasher,Bird
brown-thrasher,Species
bufflehead,Bird
bufflehead,NC Management Concern
bufflehead,Species
canada-warbler,Bird
canada-warbler,Species
canvasback,Bird
canvasback,NC Management Concern
canvasback,NC SGCN
canvasback,Species
cape-may-warbler,Bird
cape-may-warbler,NC Knowledge Concern
cape-may-warbler,Species
carolina-chickadee,Bird
carolina-chickadee,Species
carolina-wren,Bird
carolina-wren,Species
chimney-swift,Bird
chimney-swift,Species
chipping-sparrow,Bird
chipping-sparrow,Species
common-gallinule,Bird
common-gallinule,NC Knowledge Concern
common-gallinule,NC SGCN
common-gallinule,Species
common-merganser,Bird
common-merganser,NC Knowledge Concern
common-merganser,Species
