item_id,property,value
piping-plover,AOS4 Code,"PIPL"
piping-plover,AOS59 Code,"461"
piping-plover,AOS6 Code,"CHAMEL"
piping-plover,AOS60 Code,"382"
piping-plover,Audubon Conservation Plan,"1"
piping-plover,Avibase Code,"671B69FE824DC9FF"
piping-plover,Common Name,"Piping Plover"
piping-plover,eBird Code,"pipplo"
piping-plover,Family,"Charadriidae"
piping-plover,Federal Status,"threatened"
piping-plover,Genus,"Charadrius"
piping-plover,Order,"Charadriiformes"
piping-plover,PIF Half Life,"0"
piping-plover,Plan,"Status Review And Conservation Recommendations For The Gull-Billed Tern In North America 2010"
piping-plover,Scientific Name,"Charadrius melodus"
piping-plover,Species Taxonomy,"melodus"
piping-plover,State Status,"threatened"
piping-plover,WAP15 ID,"ncwap15-spp-piping-plover"
piping-plover,Audubon Priority,"1"
piping-plover,NC Present,"NC"
piping-plover,SGCN,"1"
piping-plover,WAP Management Concern,"1"
piping-plover,Present Breeding,"1"
piping-plover,Present Wintering,"1"
piping-plover,WAP Evaluated,"1"
velvet-scoter,AOS4 Code,"VESC"
velvet-scoter,AOS59 Code,"68"
velvet-scoter,AOS6 Code,"MENFUS"
velvet-scoter,AOS60 Code,"64"
velvet-scoter,Avibase Code,"8C602FD9D2A0A234"
velvet-scoter,Common Name,"Velvet Scoter"
velvet-scoter,eBird Code,"whwsco3"
velvet-scoter,Family,"Anatidae"
velvet-scoter,Genus,"Melanitta"
velvet-scoter,Order,"Anseriformes"
velvet-scoter,PIF Half Life,"0"
velvet-scoter,PIF Pop Est,"400000"
velvet-scoter,Scientific Name,"Melanitta fusca"
velvet-scoter,Species Taxonomy,"fusca"
velvet-scoter,WAP15 ID,"ncwap15-spp-white-winged-scoter"
velvet-scoter,NC Present,"NC"
velvet-scoter,SGCN,"1"
velvet-scoter,WAP Management Concern,"1"
velvet-scoter,Present Wintering,"1"
velvet-scoter,WAP Evaluated,"1"
acadian-flycatcher,AOS4 Code,"ACFL"
acadian-flycatcher,AOS59 Code,"1303"
acadian-flycatcher,AOS6 Code,"EMPVIR"
acadian-flycatcher,AOS60 Code,"1139"
acadian-flycatcher,Avibase Code,"2778A3F42BBFEBD5"
acadian-flycatcher,Common Name,"Acadian Flycatcher"
acadian-flycatcher,eBird Code,"acafly"
acadian-flycatcher,Family,"Tyrannidae"
acadian-flycatcher,Genus,"Empidonax"
acadian-flycatcher,Order,"Passeriformes"
acadian-flycatcher,PIF Pop Est,"5227271"
acadian-flycatcher,Plan,"South Atlantic Migratory Bird Initiative Implmentation Plan 2008"
acadian-flycatcher,Scientific Name,"Empidonax virescens"
acadian-flycatcher,Species Taxonomy,"virescens"
acadian-flycatcher,WAP15 ID,"ncwap15-spp-acadian-flycatcher"
acadian-flycatcher,NC Present,"NC"
acadian-flycatcher,SGCN,"1"
acadian-flycatcher,Present Breeding,"1"
acadian-flycatcher,WAP Evaluated,"1"
alder-flycatcher,AOS4 Code,"ALFL"
alder-flycatcher,AOS59 Code,"1304"
alder-flycatcher,AOS6 Code,"EMPALN"
alder-flycatcher,AOS60 Code,"1140"
alder-flycatcher,Avibase Code,"338088120A17D3EA"
alder-flycatcher,Common Name,"Alder Flycatcher"
alder-flycatcher,eBird Code,"aldfly"
alder-flycatcher,Family,"Tyrannidae"
alder-flycatcher,Genus,"Empidonax"
alder-flycatcher,Order,"Passeriformes"
alder-flycatcher,PIF Half Life,"65"
alder-flycatcher,PIF Pop Est,"117998630"
alder-flycatcher,Scientific Name,"Empidonax alnorum"
alder-flycatcher,Species Taxonomy,"alnorum"
alder-flycatcher,WAP15 ID,"ncwap15-spp-alder-flycatcher"
alder-flycatcher,NC Present,"NC"
alder-flycatcher,SGCN,"1"
alder-flycatcher,Present Breeding,"1"
alder-flycatcher,WAP Evaluated,"1"
american-avocet,AOS4 Code,"AMAV"
american-avocet,AOS59 Code,"444"
american-avocet,AOS6 Code,"RECAME"
american-avocet,AOS60 Code,"392"
american-avocet,Avibase Code,"8EB0C1FABC1D725A"
american-avocet,Common Name,"American Avocet"
american-avocet,eBird Code,"ameavo"
american-avocet,Family,"Recurvirostridae"
american-avocet,Genus,"Recurvirostra"
american-avocet,Order,"Charadriiformes"
american-avocet,PIF Half Life,"0"
american-avocet,PIF Pop Est,"450000"
american-avocet,Plan,"South Atlantic Migratory Bird Initiative Implmentation Plan 2008"
american-avocet,Scientific Name,"Recurvirostra americana"
american-avocet,Species Taxonomy,"americana"
american-avocet,WAP15 ID,"ncwap15-spp-american-avocet"
american-avocet,NC Present,"NC"
american-avocet,SGCN,"1"
american-avocet,Present Wintering,"1"
american-avocet,WAP Evaluated,"1"
american-black-duck,AOS4 Code,"ABDU"
american-black-duck,AOS59 Code,"49"
american-black-duck,AOS6 Code,"ANARUB"
american-black-duck,AOS60 Code,"36"
american-black-duck,Avibase Code,"C732CB106EE8BAE8"
american-black-duck,Common Name,"American Black Duck"
american-black-duck,eBird Code,"ambduc"
american-black-duck,Family,"Anatidae"
american-black-duck,Genus,"Anas"
american-black-duck,Order,"Anseriformes"
american-black-duck,PIF Half Life,"0"
american-black-duck,PIF Pop Est,"583500"
american-black-duck,Plan,"South Atlantic Migratory Bird Initiative Implmentation Plan 2008"
american-black-duck,Scientific Name,"Anas rubripes"
american-black-duck,Species Taxonomy,"rubripes"
american-black-duck,WAP15 ID,"ncwap15-spp-american-black-duck"
american-black-duck,NC Present,"NC"
american-black-duck,SGCN,"1"
american-black-duck,WAP Management Concern,"1"
american-black-duck,Present Breeding,"1"
american-black-duck,Present Wintering,"1"
american-black-duck,WAP Evaluated,"1"
american-pipit,AOS4 Code,"AMPI"
american-pipit,AOS59 Code,"1678"
american-pipit,AOS6 Code,"ANTRUB"
american-pipit,AOS60 Code,"1521"
american-pipit,Avibase Code,"8F26868274C1EE0A"
american-pipit,Common Name,"American Pipit"
american-pipit,eBird Code,"amepip"
american-pipit,Family,"Motacillidae"
american-pipit,Genus,"Anthus"
american-pipit,Order,"Passeriformes"
american-pipit,PIF Half Life,"0"
american-pipit,PIF Pop Est,"18034890"
american-pipit,Scientific Name,"Anthus rubescens"
american-pipit,Species Taxonomy,"rubescens"
american-pipit,WAP15 ID,"ncwap15-spp-american-pipit"
american-pipit,NC Present,"NC"
american-pipit,WAP Knowledge Concern,"1"
american-pipit,Present Wintering,"1"
american-pipit,WAP Evaluated,"1"
american-redstart,AOS4 Code,"AMRE"
american-redstart,AOS59 Code,"1983"
american-redstart,AOS6 Code,"SETRUT"
american-redstart,AOS60 Code,"1576"
american-redstart,Avibase Code,"BED38F505F0B8509"
american-redstart,Common Name,"American Redstart"
american-redstart,eBird Code,"amered"
american-redstart,Family,"Parulidae"
american-redstart,Genus,"Setophaga"
american-redstart,Order,"Passeriformes"
american-redstart,PIF Pop Est,"42464674"
american-redstart,Plan,"South Atlantic Migratory Bird Initiative Implmentation Plan 2008"
american-redstart,Scientific Name,"Setophaga ruticilla"
american-redstart,Species Taxonomy,"ruticilla"
american-redstart,WAP15 ID,"ncwap15-spp-american-redstart"
american-redstart,NC Present,"NC"
american-redstart,Present Breeding,"1"
american-redstart,WAP Evaluated,"1"
american-robin,AOS4 Code,"AMRO"
american-robin,AOS59 Code,"1603"
american-robin,AOS6 Code,"TURMIG"
american-robin,AOS60 Code,"1472"
american-robin,Avibase Code,"D77E4B418D581FB2"
american-robin,Common Name,"American Robin"
american-robin,eBird Code,"amerob"
american-robin,Family,"Turdidae"
american-robin,Genus,"Turdus"
american-robin,Order,"Passeriformes"
american-robin,PIF Pop Est,"366076928"
american-robin,Plan,"Status Assessment And Conservation Plan For The Henslow's Sparrow 2012"
american-robin,Scientific Name,"Turdus migratorius"
american-robin,Species Taxonomy,"migratorius"
american-robin,WAP15 ID,"ncwap15-spp-american-robin"
american-robin,NC Present,"NC"
american-robin,Present Breeding,"1"
american-robin,Present Wintering,"1"
american-robin,WAP Evaluated,"1"
american-wigeon,AOS4 Code,"AMWI"
american-wigeon,AOS59 Code,"44"
american-wigeon,AOS6 Code,"MARAME"
american-wigeon,AOS60 Code,"12821"
american-wigeon,Avibase Code,"D201EB7230F20770"
american-wigeon,Common Name,"American Wigeon"
american-wigeon,eBird Code,"amewig"
american-wigeon,Family,"Anatidae"
american-wigeon,Genus,"Mareca"
american-wigeon,Order,"Anseriformes"
american-wigeon,PIF Half Life,"0"
american-wigeon,PIF Pop Est,"2997300"
american-wigeon,Plan,"South Atlantic Migratory Bird Initiative Implmentation Plan 2008"
american-wigeon,Scientific Name,"Mareca americana"
american-wigeon,Species Taxonomy,"americana"
american-wigeon,WAP15 ID,"ncwap15-spp-american-wigeon"
american-wigeon,NC Present,"NC"
american-wigeon,WAP Management Concern,"1"
american-wigeon,Present Wintering,"1"
american-wigeon,WAP Evaluated,"1"
american-woodcock,AOS4 Code,"AMWO"
american-woodcock,AOS59 Code,"512"
american-woodcock,AOS6 Code,"SCOMIN"
american-woodcock,AOS60 Code,"456"
american-woodcock,Avibase Code,"F4829920F1710E56"
american-woodcock,Common Name,"American Woodcock"
american-woodcock,eBird Code,"amewoo"
american-woodcock,Family,"Scolopacidae"
american-woodcock,Genus,"Scolopax"
american-woodcock,Order,"Charadriiformes"
american-woodcock,PIF Half Life,"0"
american-woodcock,PIF Pop Est,"3500000"
american-woodcock,Plan,"South Atlantic Migratory Bird Initiative Implmentation Plan 2008"
american-woodcock,Scientific Name,"Scolopax minor"
american-woodcock,Species Taxonomy,"minor"
american-woodcock,WAP15 ID,"ncwap15-spp-american-woodcock"
american-woodcock,Audubon Priority,"1"
american-woodcock,NC Present,"NC"
american-woodcock,WAP Knowledge Concern,"1"
american-woodcock,WAP Management Concern,"1"
american-woodcock,Present Breeding,"1"
american-woodcock,Present Wintering,"1"
american-woodcock,WAP Evaluated,"1"
bachman's-sparrow,AOS4 Code,"BACS"
bachman's-sparrow,AOS59 Code,"1825"
bachman's-sparrow,AOS6 Code,"PEUAES"
bachman's-sparrow,AOS60 Code,"1697"
bachman's-sparrow,Avibase Code,"DAD22BB68CF2206A"
